iteration,popsize,leather,beef,experience,playerkills,envdeaths
0,3,0,0,3,0,0
1,4,0,0,4,0,0
2,5,4,1,16,1,0
3,6,6,6,28,1,0
4,8,10,11,39,1,0
5,10,18,20,59,2,0
6,12,28,28,76,3,0
7,15,35,36,112,3,0
8,18,45,45,145,4,0
9,22,55,67,180,5,0
10,27,65,86,219,6,0
11,32,91,116,277,8,0
12,39,120,142,368,9,0
13,47,146,175,475,11,0
14,56,182,217,601,14,0
15,68,213,275,737,16,0
16,82,254,341,902,20,0
17,99,313,424,1116,24,0
18,119,401,509,1364,29,0
19,143,464,616,1674,35,0
20,172,568,752,2022,42,0
21,207,675,917,2487,51,0
22,248,830,1135,3015,62,0
23,298,1047,1392,3654,74,0
24,358,1285,1692,4445,89,0
25,430,1571,2044,5372,107,0
26,516,1925,2489,6493,129,0
27,620,2291,2980,7821,154,0
28,744,2734,3646,9432,186,0
29,768,3378,4649,11318,192,156
30,768,4066,5671,13251,192,192
31,768,4703,6761,15141,192,192
32,768,5408,7828,17072,192,192
33,768,6079,8934,18921,192,192
34,768,6756,10018,20871,192,192
35,768,7419,11082,22832,192,192
36,768,8128,12117,24740,192,192
37,768,8785,13217,26601,192,192
38,768,9458,14316,28504,192,192
39,768,10162,15383,30407,192,192
40,768,10812,16437,32308,192,192
41,768,11466,17492,34165,192,192
42,768,12117,18557,36062,192,192
43,768,12809,19589,37954,192,192
44,768,13478,20633,39883,192,192
45,768,14197,21670,41735,192,192
46,768,14868,22719,43637,192,192
47,768,15556,23780,45536,192,192
48,768,16215,24846,47446,192,192
49,768,16866,25935,49362,192,192
