iteration,popsize,leather,beef,experience,playerkills,envdeaths
0,3,0,0,4,0,0
1,4,0,0,7,0,0
2,6,0,0,20,0,0
3,9,0,0,31,0,0
4,12,3,2,47,1,0
5,17,3,8,70,1,0
6,23,7,19,101,2,0
7,31,15,30,156,3,0
8,42,27,45,212,4,0
9,57,41,66,303,6,0
10,77,61,96,439,8,0
11,104,87,135,614,11,0
12,141,123,184,831,15,0
13,190,185,263,1171,21,0
14,257,251,365,1588,28,0
15,347,337,484,2202,38,0
16,468,463,658,2951,52,0
17,632,624,902,4025,70,0
18,854,841,1204,5544,94,0
19,864,1403,2188,7400,96,321
20,864,1976,3189,9369,96,336
21,864,2550,4191,11294,96,336
22,864,3142,5210,13279,96,336
23,864,3725,6203,15160,96,336
24,864,4320,7237,17000,96,336
25,864,4875,8252,18957,96,336
26,864,5424,9263,20850,96,336
27,864,6024,10314,22729,96,336
28,864,6578,11326,24645,96,336
29,864,7133,12318,26541,96,336
30,864,7734,13334,28433,96,336
31,864,8273,14348,30319,96,336
32,864,8815,15330,32230,96,336
33,864,9392,16333,34151,96,336
34,864,9976,17373,36041,96,336
35,864,10576,18375,37949,96,336
36,864,11171,19382,39863,96,336
37,864,11711,20360,41746,96,336
38,864,12272,21359,43685,96,336
39,864,12847,22353,45611,96,336
40,864,13437,23337,47579,96,336
41,864,13989,24295,49444,96,336
42,864,14584,25292,51330,96,336
43,864,15168,26282,53213,96,336
44,864,15715,27286,55086,96,336
45,864,16272,28296,56997,96,336
46,864,16843,29308,58891,96,336
47,864,17361,30273,60730,96,336
48,864,17937,31308,62674,96,336
49,864,18535,32308,64596,96,336
